"Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (kg per PPP $ of GDP),Current health expenditure (% of GDP),Lifetime risk of maternal death (%),Population growth (annual %),"Unemployment, total (% of total labor force)",Level of water stress,Internet Penetration Ratio,Urbanization Ratio,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Water Use (mm/day/yr) - Cropland,Vapor pressure deficit VPD,Normalized difference vegetation index NDVI,Air Temp (Kelvin),Country
22.23471099,0.118532127,3.32077932,5.989518911,2.764062379,3.77,9.668217054,0.07596,0.797461984,0.173218176,0.098557927,2.73,1.93,0.38,300.34,Nigeria
0.365514424,0.496529664,3.6575706,0.092834268,0.571848981,4.63,19.50423216,0.128176059,1.193078644,0.112853805,0.407407407,3.41,0.66,0.61,298.99,Trinidad and Tobago
1.448634907,0.199777286,7.16409779,0.009988325,1.960348962,4.8,103.4423259,0.201695952,11.91322314,0.604414268,0.175724638,1.44,1.05,0.36,293.61,Israel
1.586595104,0.323690152,6.76892185,0.073382782,0.361350773,9.08,87.5,0.083773383,0.489003708,1.307571167,0.0625,2.5,0.76,0.61,299.73,Barbados
4.892766618,0.273451456,8.55984211,0.041379953,1.883559829,8.98,40.20765737,0.039859839,6.634170547,0.919902973,0.211047113,1.54,0.72,0.29,287.33,Lebanon
2.070927285,0.292122877,4.01962805,0.047567477,2.199762757,5.52,900.1041667,3.766302679,4.720823799,32.53244282,0.001315296,0.75,2.57,0.25,297.97,Saudi Arabia
7.676156215,0.172844923,8.72573948,0.826244499,1.756999185,21.656,0.861552567,12.82615026,0.960976566,0.114952749,0.000257666,1.36,1.7,0.35,296.21,Namibia
32.71418375,0.081143225,4.99775171,4.370726158,3.134420559,1.298,7.875406108,0.023177999,0.424623187,5.83087583,0.003653866,2.12,2.61,0.31,302.11,Mali
16.45057861,0.084892361,3.7502923,1.771401492,1.795963659,9.635,12.51140589,0.001103576,0.593650895,1.271214613,0.167664671,3.36,0.8,0.6,298.14,Haiti
2.583509751,0.390022804,7.81179047,0.23057585,6.757909009,14,101.5616347,0.201403014,4.254860746,4.556720418,0.084479371,0.97,1.11,0.24,291.16,Jordan
1.339181259,0.098504342,3.58787632,1.901591473,3.041365393,28.351,6.333333333,0.014304384,3.277891855,0.045348192,0.013627278,1.49,1.65,0.28,299.83,Djibouti
37.3635796,0.041549574,3.56699872,6.122860605,2.071208345,5.518,0.335648148,0.267369546,0.636768365,0.001598215,0.015643332,3.82,1.5,0.57,300.07,Central African Republic
6.905395959,0.67505459,6.60771894,0.023546406,-0.443841324,8.84,19.29696813,0.225169988,2.17480475,3.945917167,0.021755984,1.74,0.51,0.39,282.99,Ukraine
3.329080651,0.210832176,2.84087205,0.844878379,3.505157393,20.507,0.502166065,4.136593168,6.785736531,0.000888856,0.078950937,4.08,0.5,0.53,297.69,Gabon
25.10493037,1,4.081440713,0.097862597,-5.03381016,8.863,124.3601389,0.223815876,1.106549262,142.685989,0.076934128,1.19,1.37,0.29,291.68,Syrian Arab Republic
1.518255278,0.2398585,1.51855493,1.334692747,4.598402177,8.037,0.183503244,0.03962963,1.464936281,0.000144702,0.337167791,3.96,0.41,0.56,296.37,Equatorial Guinea
33.82489668,0.07446063,3.94221044,1.414383005,1.075359276,10.52,8.311832662,0.004507728,0.178536493,2.867558315,0.031651594,2.96,0.9,0.5,294.43,Nepal
31.73570631,0.077022696,5.22659969,3.764153645,3.2555744,1.329,8.00308642,0.146104924,0.543209877,4.287927352,0.00365449,2.37,2.42,0.35,301.66,Mali
31.49373198,0.32863,3.43770432,0.520400297,-0.018146124,11.279,3.604018265,0.957814325,0.390124555,0.344455393,0.024592813,3.3,0.57,0.58,299.12,Guyana
11.52561074,0.147174888,11.3798008,0.043380711,-0.564065543,12.2,57.79705467,0.671667342,1.71879503,9.300245748,0.035778175,1.78,0.44,0.34,280.18,Armenia
17.86443807,0.711861033,4.45980072,0.191147069,1.238592599,5.86,4.045521292,5.840392777,1.992220227,0.12973956,1.75E-05,1.26,0.45,0.25,273.13,Mongolia
12.95511863,0.266591759,4.89645052,1.026648657,1.751072288,2.49,1.126490383,0.379397071,1.686944138,0.072840139,0.004824315,3.22,0.77,0.61,296.79,Bolivia
6.704774505,0.279273488,5.32991552,0.787431757,1.68294819,11.143,4.181954244,1.309762469,1.993205424,0.137223689,0.094594595,3.89,0.55,0.67,298.95,Suriname
5.826032905,0.283588893,2.42247891,0.580427709,0.718432209,8.654,77.03338684,0.014409896,2.207081235,86.01372807,0.021134594,1.37,2.24,0.25,294.57,Iraq
